Year,GEO,Products,Average_Price
2020,Alberta,"White sugar, 2 kilograms",2.768333333333333
2020,Alberta,"Wieners, 400 grams",3.9133333333333336
2020,Alberta,"Yogurt, 500 grams",2.840833333333333
2021,Alberta,"Almonds, 200 grams",5.343333333333334
2021,Alberta,"Apple juice, 2 litres",2.9008333333333334
2021,Alberta,"Apples, per kilogram",4.908333333333333
2021,Alberta,"Avocado, unit",1.6958333333333335
2021,Alberta,"Baby food, 128 millilitres",1.3175000000000001
2021,Alberta,"Bacon, 500 grams",6.740833333333334
2021,Alberta,"Bananas, per kilogram",1.7316666666666667
2021,Alberta,"Block cheese, 500 grams",6.43
2021,Alberta,"Broccoli, unit",2.8666666666666667
2021,Alberta,"Brown rice, 900 grams ",5.096666666666667
2021,Alberta,"Butter, 454 grams",4.976666666666667
2021,Alberta,"Cabbage, per kilogram",2.3008333333333333
2021,Alberta,"Canned beans and lentils, 540 millilitres",1.3091666666666668
2021,Alberta,"Canned soup, 284 millilitres",1.4616666666666667
2021,Alberta,"Cantaloupe, unit",3.528333333333333
2021,Alberta,"Celery, unit",2.6149999999999998
2021,Alberta,"Cereal, 400 grams",3.36
2021,Alberta,"Chicken breasts, per kilogram",14.164166666666667
2021,Alberta,"Cream, 1 litre",3.9358333333333335
2021,Alberta,"Cucumber, unit",1.875
2021,Alberta,"Dry or fresh pasta, 500 grams",2.545
2021,Alberta,"Eggs, 1 dozen",4.019166666666666
2021,Alberta,"Flatbread and pita, 500 grams ",3.2558333333333334
2021,Alberta,"Grapes, per kilogram",7.359999999999999
2021,Alberta,"Ground beef, per kilogram",10.159166666666666
2021,Alberta,"Iceberg lettuce, unit",2.549166666666667
2021,Alberta,"Infant formula, 900 grams ",31.235833333333332
2021,Alberta,"Ketchup, 1 litre",3.359166666666667
2021,Alberta,"Lemons, unit",0.9516666666666667
2021,Alberta,"Limes, unit",0.6441666666666667
2021,Alberta,"Margarine, 907 grams",4.779166666666667
2021,Alberta,"Mayonnaise, 890 millilitres ",4.7825
2021,Alberta,"Meatless burgers, 226 grams",5.545833333333333
2021,Alberta,"Milk, 4 litres",5.0725
2021,Alberta,"Onions, per kilogram",4.218333333333333
2021,Alberta,"Orange juice, 2 litres",4.050833333333333
2021,Alberta,"Oranges, per kilogram",4.1674999999999995
2021,Alberta,"Pasta sauce, 650 millilitres",2.3433333333333333
2021,Alberta,"Peanuts, 450 grams",3.4266666666666663
2021,Alberta,"Pears, per kilogram",4.685833333333334
2021,Alberta,"Peppers, per kilogram",7.301666666666667
2021,Alberta,"Pork loin cuts, per kilogram",9.786666666666667
2021,Alberta,"Potatoes, per kilogram",4.134166666666666
2021,Alberta,"Roasted or ground coffee, 340 grams",5.366666666666667
2021,Alberta,"Salad dressing, 475 millilitres",2.7191666666666667
2021,Alberta,"Salmon, per kilogram",22.985833333333332
2021,Alberta,"Salsa, 418 millilitres",3.4441666666666664
2021,Alberta,"Shrimp, 300 grams",7.456666666666667
2021,Alberta,"Squash, per kilogram",3.919166666666667
2021,Alberta,Tea (20 bags),3.904166666666667
2021,Alberta,"Tofu, 350 grams ",2.4325
2021,Alberta,"Tomatoes, per kilogram",4.610833333333333
2021,Alberta,"Vegetable oil, 3 litres",9.8025
2021,Alberta,"Wheat flour, 2.5 kilograms",4.845
2021,Alberta,"White bread, 675 grams",2.9625
2021,Alberta,"White rice, 2 kilograms",8.3025
2021,Alberta,"White sugar, 2 kilograms",2.563333333333333
2021,Alberta,"Wieners, 400 grams",3.9416666666666664
2021,Alberta,"Yogurt, 500 grams",2.8966666666666665
2022,Alberta,"Almonds, 200 grams",5.1866666666666665
2022,Alberta,"Apple juice, 2 litres",3.404166666666667
2022,Alberta,"Apples, per kilogram",5.325833333333334
2022,Alberta,"Avocado, unit",1.9808333333333332
2022,Alberta,"Baby food, 128 millilitres",1.3633333333333333
2022,Alberta,"Bacon, 500 grams",7.2225
2022,Alberta,"Bananas, per kilogram",1.7958333333333334
2022,Alberta,"Block cheese, 500 grams",6.79
2022,Alberta,"Broccoli, unit",3.1999999999999997
2022,Alberta,"Brown rice, 900 grams ",5.923333333333333
2022,Alberta,"Butter, 454 grams",5.8425
2022,Alberta,"Cabbage, per kilogram",2.6350000000000002
2022,Alberta,"Canned beans and lentils, 540 millilitres",1.4866666666666666
2022,Alberta,"Canned soup, 284 millilitres",1.765
2022,Alberta,"Cantaloupe, unit",4.054166666666666
2022,Alberta,"Celery, unit",3.0608333333333335
2022,Alberta,"Cereal, 400 grams",3.865
2022,Alberta,"Chicken breasts, per kilogram",15.088333333333333
2022,Alberta,"Cream, 1 litre",4.299166666666667
2022,Alberta,"Cucumber, unit",1.9166666666666667
2022,Alberta,"Dry or fresh pasta, 500 grams",3.1191666666666666
2022,Alberta,"Eggs, 1 dozen",4.3999999999999995
2022,Alberta,"Flatbread and pita, 500 grams ",3.453333333333333
2022,Alberta,"Grapes, per kilogram",8.63
2022,Alberta,"Ground beef, per kilogram",10.7425
2022,Alberta,"Iceberg lettuce, unit",3.1941666666666664
2022,Alberta,"Infant formula, 900 grams ",32.531666666666666
2022,Alberta,"Ketchup, 1 litre",4.028333333333333
2022,Alberta,"Lemons, unit",0.9508333333333333
2022,Alberta,"Limes, unit",0.8458333333333333
2022,Alberta,"Margarine, 907 grams",6.315
2022,Alberta,"Mayonnaise, 890 millilitres ",5.850833333333334
2022,Alberta,"Meatless burgers, 226 grams",5.595
